EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9448116,74.9337833,24,836940,1716229800000,1716279569000
EQPT-4,12.9451033,74.9334,12,836993,1716229800000,1716279578000
EQPT-4,12.9451483,74.9333299,7,837002,1716229800000,1716279581000
EQPT-4,12.9451933,74.9332683,7,837009,1716229800000,1716279586000
EQPT-4,12.94535,74.9330833,13,837037,1716229800000,1716279595000
EQPT-4,12.9454599,74.933015,17,837046,1716229800000,1716279597000
EQPT-4,12.9455583,74.9330066,20,837062,1716229800000,1716279600000
EQPT-4,12.945695,74.9330566,18,837074,1716229800000,1716279602000
EQPT-4,12.9458333,74.9331516,25,837097,1716229800000,1716279606000
EQPT-4,12.9463049,74.9335,14,837162,1716229800000,1716279615000
EQPT-4,12.9468333,74.933875,24,837234,1716229800000,1716279628000
EQPT-4,12.9475516,74.9341733,33,837320,1716229800000,1716279638000
EQPT-4,12.9483716,74.934345,33,837413,1716229800000,1716279647000
EQPT-4,12.9493316,74.9343566,29,837520,1716229800000,1716279658000
EQPT-4,12.9502366,74.9342666,34,837621,1716229800000,1716279669000
EQPT-4,12.9511883,74.93408,36,837729,1716229800000,1716279679000
EQPT-4,12.9521133,74.934,35,837833,1716229800000,1716279689000
EQPT-4,12.9524083,74.9339316,24,837867,1716229800000,1716279693000
EQPT-4,12.9526483,74.9338366,25,837895,1716229800000,1716279697000
EQPT-4,12.9532633,74.9337733,35,837964,1716229800000,1716279705000
EQPT-4,12.9542466,74.9336749,37,838074,1716229800000,1716279715000
EQPT-4,12.9552149,74.9336766,36,838182,1716229800000,1716279725000
EQPT-4,12.956155,74.9335649,34,838287,1716229800000,1716279736000
EQPT-4,12.9565666,74.9335883,32,838333,1716229800000,1716279741000
EQPT-4,12.9574633,74.933725,24,838434,1716229800000,1716279754000
EQPT-4,12.957595,74.9337349,24,838449,1716229800000,1716279756000
EQPT-4,12.95771,74.9337066,25,838481,1716229800000,1716279758000
EQPT-4,12.9579066,74.9336,21,838487,1716229800000,1716279762000
EQPT-4,12.9581633,74.933475,22,838519,1716229800000,1716279767000
EQPT-4,12.95907,74.9332483,22,838622,1716229800000,1716279783000
EQPT-4,12.9593916,74.9332183,12,838658,1716229800000,1716279790000
EQPT-4,12.9602233,74.9332149,15,838751,1716229800000,1716279810000
EQPT-4,12.9607216,74.9333316,22,838808,1716229800000,1716279820000
EQPT-4,12.96168,74.9333683,23,838915,1716229800000,1716279836000
EQPT-4,12.9620233,74.9334733,25,838955,1716229800000,1716279843000
EQPT-4,12.962875,74.9339016,30,839061,1716229800000,1716279856000
EQPT-4,12.96328,74.9341266,40,839112,1716229800000,1716279861000
EQPT-4,12.96412,74.934545,45,839216,1716229800000,1716279869000
EQPT-4,12.9649533,74.935165,50,839332,1716229800000,1716279878000
EQPT-4,12.9657566,74.9358183,50,839446,1716229800000,1716279886000
